name,url,original_url,channel_type,country,is_active,note
A.A. Spectrum,https://www.aaspectrumstore.com,https://www.aaspectrumstore.com/collections/tops?page=3,unknown,,True,
Pherrows,https://www.pherrows.tokyo,https://pherrows.tokyo/en-en/products/25w-onibikeshi2,unknown,,True,
Cole Buxton,https://www.colebuxton.com,https://www.colebuxton.com/collections/accessories?page=1,unknown,,True,
The Trilogy Tapes,https://www.thetrilogytapes.com,,unknown,,True,
Limited Edt,https://www.limitededt.com,https://limitededt.com/products/acronym-j123a-gt-alpha-green-j123a-gt-alpha-green,unknown,,True,
HAMCUS,https://www.hamc.us,https://hamc.us/collections/new-collection/products/vm00525-1-cf,unknown,,True,
JOE FRESHGOODS,https://www.joefreshgoods.com,https://joefreshgoods.com/collections/shop,unknown,,True,
Warren Lotas,https://www.warrenlotas.com,https://warrenlotas.com/product/want-reaper-long-sleeve,unknown,,True,
블루스맨,https://www.bluesman.co.kr,https://m.bluesman.co.kr/product/detail.html?product_no=22252&cate_no=90&display_group=1,unknown,KR,True,
fazeone,https://www.faze-one.com,https://faze-one.com,unknown,,True,
YOKE Official Website,https://www.yoketokyo.com,https://yoketokyo.com/collections/jackets,unknown,,True,
EFFORTLESS,https://www.effortless-store.com,https://effortless-store.com/product/aw25-yoke-cow-leather-flight-jacket-black/3234/category/341/display/1/,unknown,,True,
Evisen Skateboards,https://shop.evisenskateboards.com,https://shop.evisenskateboards.com/collections/new-arrivals,unknown,,True,
SHRED,https://www.srd-osaka.com,https://srd-osaka.com/?mode=cate&cbid=1877677&csid=0&sort=n&page=2,unknown,,True,
F-LAGSTUF-F,https://www.f-lagstuf-f.com,https://f-lagstuf-f.com/collections/new-arrivals?page=1,unknown,,True,
11747391,https://www.11747391.net,https://11747391.net/collections/tops,unknown,,True,
ROMBAUT,https://www.rombaut.com,https://rombaut.com/products/nucleo-volcanic-mate-black,unknown,,True,
Stüssy Korea,https://kr.stussy.com,https://kr.stussy.com/collections/sweats/products/1915000-basic-stussy-crew-black,unknown,KR,True,
EYTYS,https://www.eytys.com,https://eytys.com/collections/footwear,unknown,,True,
TIGHTBOOTH,https://shop.tightbooth.com,https://shop.tightbooth.com/?mode=cate&cbid=2862047&csid=0&sort=n&page=6,unknown,,True,
Borderline,https://www.borderlineofficial.com,https://www.borderlineofficial.com/products/the-zipper-v4,unknown,,True,
Séfr,https://www.sefr-online.com,https://www.sefr-online.com/ko/product/duke-jacket-faux_-memory_-leather,unknown,,True,
